1,   8.712,   3.802,  -1.836,  90.323,   1.846, -11.679,
1,   8.713,   3.801,  -1.837,  90.298,   1.887, -11.683,
1,   8.713,   3.801,  -1.838,  90.280,   1.922, -11.666,
1,   8.713,   3.801,  -1.839,  90.254,   1.950, -11.669,
1,   8.713,   3.801,  -1.840,  90.250,   1.970, -11.676,
1,   8.714,   3.800,  -1.842,  90.232,   1.979, -11.674,
1,   8.714,   3.800,  -1.843,  90.240,   1.980, -11.681,
1,   8.715,   3.800,  -1.844,  90.241,   1.974, -11.677,
1,   8.715,   3.800,  -1.844,  90.234,   1.959, -11.685,
1,   8.716,   3.800,  -1.845,  90.238,   1.941, -11.687,
1,   8.716,   3.800,  -1.846,  90.240,   1.919, -11.682,
1,   8.716,   3.800,  -1.846,  90.248,   1.894, -11.696,
1,   8.716,   3.801,  -1.845,  90.258,   1.867, -11.707,
1,   8.716,   3.801,  -1.846,  90.268,   1.854, -11.705,
1,   8.716,   3.801,  -1.847,  90.276,   1.847, -11.700,
1,   8.716,   3.800,  -1.847,  90.273,   1.832, -11.705,
1,   8.716,   3.801,  -1.846,  90.283,   1.819, -11.712,
1,   8.716,   3.800,  -1.846,  90.280,   1.806, -11.709,
1,   8.716,   3.800,  -1.845,  90.273,   1.800, -11.711,
1,   8.716,   3.800,  -1.845,  90.272,   1.794, -11.714,
1,   8.716,   3.800,  -1.845,  90.267,   1.795, -11.698,
1,   8.716,   3.800,  -1.844,  90.251,   1.794, -11.696,
1,   8.716,   3.800,  -1.844,  90.236,   1.801, -11.692,
1,   8.715,   3.800,  -1.844,  90.217,   1.823, -11.677,
1,   8.715,   3.800,  -1.844,  90.190,   1.848, -11.677,
1,   8.716,   3.799,  -1.843,  90.146,   1.884, -11.672,
1,   8.716,   3.798,  -1.844,  90.116,   1.938, -11.659,
1,   8.717,   3.797,  -1.844,  90.096,   1.964, -11.671,
1,   8.717,   3.797,  -1.845,  90.082,   1.988, -11.683,
1,   8.718,   3.797,  -1.846,  90.074,   2.019, -11.690,
1,   8.719,   3.795,  -1.847,  90.048,   2.046, -11.706,
1,   8.720,   3.795,  -1.849,  90.030,   2.072, -11.712,
1,   8.722,   3.794,  -1.852,  90.004,   2.100, -11.716,
1,   8.724,   3.793,  -1.854,  89.967,   2.107, -11.741,
1,   8.725,   3.793,  -1.856,  89.939,   2.119, -11.749,
1,   8.726,   3.792,  -1.861,  89.913,   2.149, -11.738,
1,   8.727,   3.792,  -1.862,  89.882,   2.151, -11.757,
1,   8.728,   3.792,  -1.864,  89.856,   2.164, -11.763,
1,   8.729,   3.793,  -1.865,  89.828,   2.170, -11.772,
1,   8.730,   3.792,  -1.868,  89.783,   2.197, -11.753,
1,   8.730,   3.794,  -1.869,  89.763,   2.202, -11.748,
1,   8.730,   3.794,  -1.869,  89.725,   2.209, -11.750,
1,   8.730,   3.794,  -1.870,  89.693,   2.222, -11.729,
