,ts,tx,ty,tz,rx,ry,rz,qx,qy,qz,qw,motor0,motor1
0,1543539501.418699,-0.06609021253585814,-0.2607493942260742,-0.11916167030334472,-0.11750527709925745,-0.03058980540978411,-1.6491398850046723,0.051068518310785294,-0.0327446386218071,0.7335128784179688,-0.6769627332687378,1846,4761
1,1543539501.419565,-0.06609021253585814,-0.2607493942260742,-0.11916167030334472,-0.11750527709925745,-0.03058980540978411,-1.6491398850046723,0.051068518310785294,-0.0327446386218071,0.7335128784179688,-0.6769627332687378,1846,4761
2,1543539501.429619,-0.0656875057697296,-0.26074539737701413,-0.1195221134185791,-0.11724421902440765,-0.03115283890504633,-1.6499110391778808,0.05117378756403923,-0.03247767686843872,0.7337861061096191,-0.6766714453697205,1846,4761
3,1543539501.439652,-0.06506777009963989,-0.26079231796264646,-0.12000694332122802,-0.11657464670880531,-0.0323239436418626,-1.650210832734325,0.05137142166495323,-0.03184269368648529,0.7339147329330444,-0.6765472292900085,1846,4761
4,1543539501.449629,-0.06480392355918883,-0.26074876441955563,-0.12040016059875487,-0.11678523274786104,-0.03236876867545353,-1.6510753691496598,0.05144527927041054,-0.031927015632390976,0.7342043519020081,-0.6762232780456543,1846,4761
5,1543539501.459653,-0.06459427671432495,-0.2607464874267578,-0.12067990369796752,-0.11719160889676271,-0.032119300490995095,-1.6520648400069915,0.051475342363119125,-0.03218618780374527,0.7345288395881653,-0.6758562326431274,1846,4761
6,1543539501.469623,-0.06430092616081237,-0.26072531623840334,-0.12105655221939086,-0.1180997525767272,-0.03193901556641337,-1.6532442155494471,0.051696907728910446,-0.03261125087738037,0.7349100112915039,-0.67540442943573,1846,4761
7,1543539501.479621,-0.0640216251373291,-0.260733673286438,-0.12129824047088622,-0.11839219627552075,-0.03191179655274884,-1.6533522502461866,0.051783911883831024,-0.032730717211961746,0.734941303730011,-0.6753578782081604,1846,4761
8,1543539501.489655,-0.0636516683101654,-0.26073873596191405,-0.12170434455871582,-0.11923157429286939,-0.031710041737360535,-1.6536518893160879,0.0519883818924427,-0.033115219324827194,0.7350258231163025,-0.6752315163612366,1830,4783
9,1543539501.499627,-0.06334060444831847,-0.2607513078689575,-0.12200834732055664,-0.11951920317395277,-0.03154884727772645,-1.6538989168195541,0.052022241055965424,-0.03328188508749008,0.735102117061615,-0.6751376390457153,1830,4783
10,1543539501.509656,-0.06299696626663208,-0.26074832839965817,-0.12234713478088378,-0.11978282766629578,-0.03128560605793776,-1.6541345343239182,0.05201070010662079,-0.03347394987940788,0.7351734042167664,-0.6750513315200806,1830,4783
11,1543539501.519658,-0.06245182633399963,-0.26076879711151124,-0.12291490535736084,-0.11977094306055874,-0.031465819867196966,-1.6539086136847452,0.05207659304141998,-0.03340274840593338,0.7350999712944031,-0.675129771232605,1830,4783
12,1543539501.529655,-0.0621449773311615,-0.26081847915649414,-0.12314600801467895,-0.1198229918927956,-0.03223647551249287,-1.6537944120540287,0.0523788146674633,-0.033158205449581146,0.7350716590881348,-0.6751492619514465,1830,4783
13,1543539501.539657,-0.061788143491744996,-0.2608115755081177,-0.12361998586654663,-0.12041809032488973,-0.03252748247940433,-1.6540273760163406,0.05268258973956108,-0.03328461945056915,0.7351446151733398,-0.6750400066375732,1830,4783
14,1543539501.549655,-0.06155592050552368,-0.26082858028411865,-0.12380055866241454,-0.12100759645247242,-0.03318795950497523,-1.6540895213174396,0.05312285199761391,-0.03327955678105354,0.7351652979850769,-0.6749832630157471,1813,4802
15,1543539501.55966,-0.06128745336532593,-0.26079442539215086,-0.1241180417060852,-0.1216006529410512,-0.03287998767224197,-1.6543907857990754,0.053204942494630814,-0.03360972926020622,0.7352525591850281,-0.6748653054237366,1813,4802
16,1543539501.569622,-0.06086437478065491,-0.2608172922134399,-0.124489191532135,-0.12217717224137838,-0.03230471220068732,-1.6549998859641797,0.05317801982164383,-0.03403240442276001,0.7354398965835571,-0.6746420860290527,1813,4802
17,1543539501.579618,-0.06054563212394714,-0.26082153129577634,-0.12480239915847778,-0.12252237200099732,-0.03186226711221839,-1.6552223197685936,0.05312824621796608,-0.03431481495499611,0.7355024814605713,-0.674563467502594,1813,4802
18,1543539501.589653,-0.05997881836891174,-0.26085563774108883,-0.12526054706573486,-0.12301139107190927,-0.03202991206662993,-1.6551743870729372,0.05335554853081703,-0.03443671017885208,0.7354804277420044,-0.6745634078979492,1813,4802
19,1543539501.599625,-0.05961159272193908,-0.26087324810028073,-0.1255699758529663,-0.12325585664976117,-0.032638512644709745,-1.6548617367686973,0.05366676300764084,-0.03431250900030136,0.7353798151016235,-0.6746547222137451,1813,4802
20,1543539501.609661,-0.059256515073776245,-0.26087990951538087,-0.12590984125137328,-0.12368133519739005,-0.033242520793879224,-1.6547229597471937,0.05403433367609978,-0.034261006861925125,0.7353346347808838,-0.6746771931648254,1813,4802
21,1543539501.619622,-0.05887620277404785,-0.26087540397644043,-0.1263433298110962,-0.1246376177036598,-0.033546852906821224,-1.6554977080258904,0.0544552244246006,-0.03453080356121063,0.735584020614624,-0.6743577122688293,1797,4821
22,1543539501.629654,-0.05851994423866272,-0.26086242027282713,-0.12669299354553223,-0.1251440598154441,-0.03302921035990751,-1.655637190529103,0.05443353205919266,-0.034895796328783035,0.7356144785881042,-0.6743074059486389,1797,4821
23,1543539501.639654,-0.05799553341865539,-0.26088603801727295,-0.12704441347122192,-0.12602532074279021,-0.03241987770750011,-1.6558942596202157,0.05450240895152092,-0.035432830452919006,0.7356764078140259,-0.6742063164710999,1797,4821
24,1543539501.649648,-0.05775331830978393,-0.2608516893386841,-0.12737559480667113,-0.12677315816055065,-0.03167510237942256,-1.6562303256245965,0.05447502061724663,-0.035968683660030365,0.7357648015022278,-0.6740836501121521,1797,4821
25,1543539501.659655,-0.057458017778396604,-0.2608679431915283,-0.127589244556427,-0.12726516224374704,-0.03155872085398718,-1.6564595923773122,0.05459396168589592,-0.03619525209069252,0.7358313798904419,-0.6739892363548279,1797,4821
26,1543539501.66966,-0.05699908261299133,-0.2609042539596558,-0.12794524269104005,-0.12724299812170298,-0.0320243934577628,-1.656164095052415,0.0547628253698349,-0.03602173179388046,0.7357394695281982,-0.6740851402282715,1797,4821
27,1543539501.67963,-0.05678962955474853,-0.2609038906097412,-0.1281400345802307,-0.12746309732613778,-0.03299521284888902,-1.6564825901844273,0.05518776923418045,-0.035783551633358,0.7358579635620117,-0.6739338636398315,1779,4840
28,1543539501.689626,-0.056491422224044796,-0.2608682580947876,-0.12848865671157836,-0.1285866677258814,-0.03448234508939464,-1.6579885636791085,0.056085534393787384,-0.035736918449401855,0.7363680005073547,-0.6733047962188721,1779,4840
29,1543539501.699627,-0.05614546465873718,-0.2608340305328369,-0.12873516540527344,-0.12899692658193385,-0.03515680020683263,-1.6587346945369879,0.05645815283060074,-0.03568142652511597,0.736622154712677,-0.6729985475540161,1779,4840
