,ts,tx,ty,tz,rx,ry,rz,motor0,motor1
0,1543201394.427977,0.0034551227241754533,-0.26189133033752443,-0.13282980403900146,-2.5506219576684797,-0.032583445465587293,-1.5467278957605226,1784,4117
1,1543201394.42889,0.0034551227241754533,-0.26189133033752443,-0.13282980403900146,-2.5506219576684797,-0.032583445465587293,-1.5467278957605226,1784,4117
2,1543201394.438978,0.0034225026071071623,-0.2618707162857056,-0.13286250553131104,-2.550881843361675,-0.03227559871590872,-1.5469745412154075,1784,4117
3,1543201394.448975,0.0034380013734102246,-0.2618749795913696,-0.13283303785324097,-2.5509011922331966,-0.03240947077522033,-1.5468573388163172,1784,4117
4,1543201394.458947,0.0034212085515260694,-0.26186616230010984,-0.1328413827896118,-2.55095531188473,-0.03235118430884306,-1.546871544752647,1784,4117
5,1543201394.46898,0.003406788858771324,-0.26186802749633786,-0.1328422306060791,-2.5509953864356385,-0.03232045730657574,-1.5467859968183872,1784,4117
6,1543201394.478977,0.003396203643083572,-0.2618712249755859,-0.13283940858840942,-2.5509713048056235,-0.03234008919799431,-1.5468148283325747,1784,4117
7,1543201394.488962,0.0033831658154726027,-0.2618471954345703,-0.1328548994064331,-2.5511673643367523,-0.031899492723026016,-1.5458052047200168,1784,4117
8,1543201394.498991,0.0033998995929956435,-0.26180565242767334,-0.1328733696937561,-2.5510311258581395,-0.031352310421715775,-1.5453110873997717,1774,0
9,1543201394.508979,0.0033693494349718092,-0.2617694869995117,-0.1328596592903137,-2.5510958444677234,-0.031305264440786594,-1.5455100922019258,1774,0
10,1543201394.518977,0.00334061262011528,-0.2617807508468628,-0.1328519926071167,-2.5509847665731655,-0.03150614009973287,-1.5453670400023174,1774,0
11,1543201394.52898,0.003282031151652336,-0.261801873588562,-0.13284542808532715,-2.5509423540255742,-0.031781241943889975,-1.5455987182721267,1774,0
12,1543201394.538977,0.0032468611508607863,-0.26181214427947996,-0.13284340543746948,-2.5508926332383512,-0.03185246907205368,-1.5453995859355352,1774,0
13,1543201394.548977,0.003225155535340309,-0.26179821586608887,-0.13285338544845582,-2.5509887463711323,-0.03175310255043365,-1.5453298814995997,1774,0
14,1543201394.558948,0.003211844438314438,-0.2617915786743164,-0.13284184303283691,-2.55093524333463,-0.03172923280713417,-1.5450681256343242,1764,4094
15,1543201394.568952,0.003194727250933647,-0.2617644727706909,-0.13284989728927613,-2.551101937897865,-0.03143033899524396,-1.5442961548696765,1764,4094
16,1543201394.578975,0.0031621131896972655,-0.26173598613739013,-0.13287748765945434,-2.5511594423034647,-0.031190233348508924,-1.5443634283493928,1764,4094
17,1543201394.58901,0.003177116513252258,-0.2617312868118286,-0.13286415271759033,-2.5512547845694558,-0.031218266507998735,-1.5440559629143287,1764,4094
18,1543201394.59895,0.003153180080652237,-0.26173322467803956,-0.13285342178344725,-2.5513866367395117,-0.0312509990365931,-1.5440698469900414,1764,4094
19,1543201394.608954,0.0031611932709813117,-0.26173964385986326,-0.1328542332649231,-2.5511733392906555,-0.031321465130408094,-1.5439837431681038,1764,4094
20,1543201394.618992,0.003191734156012535,-0.261738263130188,-0.13285776987075806,-2.550884310877349,-0.03132466477390838,-1.5438859182888336,1764,4094
21,1543201394.628982,0.0031680770486593244,-0.2617343873977661,-0.13285447549819945,-2.5510173961297276,-0.031347753649165484,-1.5441182468595376,1753,4086
22,1543201394.638989,0.0031584980472922322,-0.26173552589416504,-0.13285030908584594,-2.551046869748891,-0.031382740133626234,-1.5439780130280965,1753,4086
23,1543201394.64898,0.0031143964514136315,-0.2617431077957153,-0.1328389362335205,-2.5510501188597443,-0.03152733630600618,-1.543989141938693,1753,4086
24,1543201394.658979,0.0030438197046518327,-0.2617299787521362,-0.13287173461914062,-2.5510125626288165,-0.031435029695957295,-1.5440796173356557,1753,4086
25,1543201394.668987,0.003015538212656975,-0.26173969230651856,-0.13285743074417114,-2.550943895050728,-0.0315046655669172,-1.5439203015261294,1753,4086
26,1543201394.678977,0.0029945140674710272,-0.2617325222015381,-0.13287252187728882,-2.5508813371543546,-0.03153771326954708,-1.5438533451740628,1753,4086
