,ts,tx,ty,tz,rx,ry,rz,motor0,motor1
36,1543284883.445586,0.0298860543012619,-0.2584327478408813,-0.10340690279006957,-2.0806784016152964,-0.03745310613356604,-1.5542426655297488,861,4239
37,1543284883.45556,0.029887613677978514,-0.25843638134002683,-0.10339192066192626,-2.080981010846922,-0.03746868250058179,-1.5542101639970904,861,4239
38,1543284883.465555,0.029850927448272703,-0.2584455862045288,-0.103330659866333,-2.081627558039488,-0.03777683291544428,-1.5543009831759762,861,4239
39,1543284883.475595,0.029796213006973264,-0.2584477420806885,-0.10334192371368407,-2.0823387772874944,-0.037516433056102964,-1.5548141961085244,861,4248
40,1543284883.485582,0.02982086024284363,-0.2584460464477539,-0.10331412744522095,-2.0824380226503494,-0.037935188082479594,-1.55455881251277,861,4248
41,1543284883.495596,0.029817799019813535,-0.2584451501846313,-0.10330515270233154,-2.082608709592601,-0.03788153682566081,-1.5545099464000096,861,4248
42,1543284883.505589,0.02981504361629486,-0.2584489532470703,-0.10327052545547485,-2.0831223095156934,-0.038117418868333294,-1.554438693232713,861,4248
43,1543284883.515588,0.029800224995613096,-0.2584435756683349,-0.10329685621261596,-2.083351304813963,-0.03774779693784231,-1.5546611197482902,861,4248
44,1543284883.525585,0.029794438648223877,-0.2584416862487793,-0.10330007791519165,-2.0835546795359865,-0.037701627173639285,-1.5546581142090137,861,4248
45,1543284883.535552,0.02980311665534973,-0.25844396324157715,-0.10329308948516845,-2.0836243983578258,-0.037731131568032684,-1.5546546442334799,861,4255
46,1543284883.545559,0.029812466859817505,-0.2584412502288818,-0.10329497890472411,-2.08396801865523,-0.03767436212425112,-1.5545632924885218,861,4255
47,1543284883.555587,0.029802662467956542,-0.2584461191177368,-0.10327039222717285,-2.0842617952314892,-0.0379457006787961,-1.554624169116688,861,4255
48,1543284883.565553,0.029783756160736082,-0.2584426067352295,-0.10327752599716186,-2.0844951968550687,-0.03774697204979599,-1.5547395474255752,861,4255
49,1543284883.575587,0.029778163599967954,-0.25844059619903564,-0.10327643594741821,-2.084631274261153,-0.03775060046799279,-1.5546760724522928,861,4255
50,1543284883.585586,0.02976772334575653,-0.25844112911224365,-0.10325267286300659,-2.0848585385094633,-0.03798526618078189,-1.5547182269069697,861,4255
