,ts,tx,ty,tz,rx,ry,rz,motor0,motor1
16,1543197959.049988,-0.059773198652267455,-0.2592520050048828,-0.13108858280181884,-2.2730781380885414,-0.013294918941443634,-1.536985643418656,1631,3261
17,1543197959.059978,-0.05941445116996765,-0.25924524669647214,-0.13143194847106934,-2.2737677982412836,-0.013266149074772467,-1.5370287057040235,1631,3261
18,1543197959.07001,-0.05890091662406921,-0.25927373332977294,-0.13187151708602904,-2.275180043967783,-0.013803615210391168,-1.5370475148808318,1631,3261
19,1543197959.080006,-0.05848654632568359,-0.2592787233352661,-0.13221897649765013,-2.2751160077138795,-0.013664234458776608,-1.536860377478392,1631,3261
20,1543197959.090008,-0.05819384980201721,-0.2592781177520752,-0.13251400451660156,-2.276035016419091,-0.01389161707355413,-1.5369379154922602,1631,3261
21,1543197959.099979,-0.05764583940505981,-0.25930699195861817,-0.13290783948898316,-2.2768099267452544,-0.01426809544971857,-1.5365608180084396,1614,3280
22,1543197959.110007,-0.05726992969512939,-0.25931314468383787,-0.13319644832611083,-2.2773724820107324,-0.014240115988206303,-1.5365707236066468,1614,3280
23,1543197959.120013,-0.056836362409591674,-0.25929107723236083,-0.13358218059539795,-2.2787025097790683,-0.014228528723696529,-1.5369683113573172,1614,3280
24,1543197959.129995,-0.056461270236968994,-0.25928884868621827,-0.13388973207473753,-2.2790350209871435,-0.013863276669109888,-1.5370463477123868,1614,3280
25,1543197959.140021,-0.05617895946502685,-0.2593064832687378,-0.13410224332809448,-2.2801068391203434,-0.013971304247137918,-1.5375094933703572,1614,3280
26,1543197959.149971,-0.055639760303497314,-0.2593106739044189,-0.13447376861572266,-2.2810514854824886,-0.013913585080126077,-1.5372487458029442,1614,3280
27,1543197959.159973,-0.055330852317810056,-0.25929776287078854,-0.13471916303634643,-2.281265877455785,-0.01354211022036825,-1.5374623497145814,1597,3299
28,1543197959.170029,-0.054925184249877926,-0.2592972057342529,-0.1350264238357544,-2.282136227726281,-0.013603120011853133,-1.5379760205324817,1597,3299
29,1543197959.180009,-0.05466532850265503,-0.2592687675476074,-0.13527920637130736,-2.2828495712077777,-0.013232275249790568,-1.5385354258441895,1597,3299
30,1543197959.190006,-0.054323846197128295,-0.25924418087005613,-0.13553822641372681,-2.283605130709522,-0.012805429729792046,-1.5386763222520752,1597,3299
31,1543197959.199974,-0.053821436214447016,-0.2592369138717651,-0.13586885061264037,-2.2842731954924718,-0.012729497316612041,-1.5390068341318972,1597,3299
32,1543197959.210009,-0.05350822253227234,-0.25923679275512695,-0.13612289276123046,-2.2848320177325134,-0.01279519132963484,-1.5399102331032024,1597,3299
33,1543197959.220005,-0.05291325521469116,-0.25923032512664795,-0.13658010807037352,-2.285771414943361,-0.012910853478317658,-1.5397035726090196,1580,3318
34,1543197959.230018,-0.05249721350669861,-0.25923851261138914,-0.13689300079345704,-2.2863237984154745,-0.012950028849718041,-1.539450114572596,1580,3318
35,1543197959.240017,-0.05206801247596741,-0.2592590539932251,-0.1371759171485901,-2.2872407469419156,-0.013177558615321818,-1.5392469174154257,1580,3318
36,1543197959.249975,-0.05151120901107788,-0.259258327293396,-0.137543590927124,-2.2882492428862826,-0.013252638945228084,-1.539132622676891,1580,3318
37,1543197959.260007,-0.05107900428771973,-0.259265327835083,-0.13779971628189086,-2.2893389718603747,-0.01309673971621079,-1.5388707288578427,1580,3318
