,ts,tx,ty,tz,rx,ry,rz,motor0,motor1
15,1543203907.447117,0.06908972058296203,-0.2614288827896118,-0.09849478135108948,-1.3101637055439357,-0.06658601273557856,-1.58467040555559,709,4103
16,1543203907.457139,0.06908292593955993,-0.26143491439819333,-0.09847199931144714,-1.3103698502286634,-0.0667940139398569,-1.5848239839035008,709,4103
17,1543203907.467142,0.0690862082004547,-0.2614288827896118,-0.0984845106601715,-1.3105817284595547,-0.06659038349012246,-1.5847048235894385,709,4103
18,1543203907.477153,0.06908341040611267,-0.2614247163772583,-0.09851667318344116,-1.3107023888755784,-0.06625780302734824,-1.5847435211636025,709,4103
19,1543203907.487115,0.06911129751205444,-0.2614191207885742,-0.09850797095298766,-1.3107760354170812,-0.06646537028779693,-1.5845250040974657,709,4103
20,1543203907.497109,0.0691158878326416,-0.2614234083175659,-0.0984884045600891,-1.310981377359481,-0.06662456611688575,-1.5845685082067966,709,4103
21,1543203907.507102,0.06909231853485107,-0.2614343814849853,-0.09847559041976928,-1.3117942827011104,-0.06672328249032115,-1.5848680756520388,709,4109
22,1543203907.517134,0.0690867956161499,-0.2614360771179199,-0.09846442952156066,-1.3123646968946554,-0.06651084019106855,-1.584789651921625,709,4109
23,1543203907.527121,0.06906701121330261,-0.26143789386749267,-0.09846203141212463,-1.3128119626808565,-0.0663954134284162,-1.5849629913610104,709,4109
24,1543203907.537146,0.06905900540351867,-0.2614416000366211,-0.09843436231613159,-1.313266932761629,-0.06636854701529477,-1.5849600962117751,709,4109
25,1543203907.547103,0.06906834349632263,-0.26143862056732176,-0.09843525252342224,-1.3134995848768505,-0.06645034890003627,-1.5848979363967421,709,4109
26,1543203907.557145,0.06906666603088378,-0.2614393230438232,-0.0984152440547943,-1.3141494519245238,-0.06649065734777594,-1.5848594289942477,709,4109
27,1543203907.567141,0.06905414257049561,-0.261439541053772,-0.09841256132125854,-1.3146542528153324,-0.06632188772894483,-1.584964962962977,709,4120
28,1543203907.577137,0.06905284662246704,-0.26143658580780027,-0.0984077227115631,-1.3152274886492863,-0.06633154359285022,-1.5848741549520424,709,4120
29,1543203907.587108,0.06902023596763611,-0.2614424236297607,-0.09837068524360656,-1.3167737575244882,-0.06638450338626657,-1.5848262237981492,709,4120
30,1543203907.597135,0.0689716076374054,-0.2614379180908203,-0.09839303126335143,-1.3181341096242254,-0.06594896980321845,-1.5849938665212215,709,4120
31,1543203907.607136,0.06896566081047058,-0.26143602867126464,-0.09833994584083557,-1.3205485793238718,-0.06626935186481846,-1.584459437823914,709,4120
32,1543203907.617135,0.06892144112586975,-0.2614284225463867,-0.09835650248527526,-1.322884536800154,-0.06587460687667301,-1.5843716150165459,709,4120
33,1543203907.627133,0.06884018397331237,-0.26143474483489987,-0.09831513509750366,-1.3251270023219244,-0.06621038537259367,-1.5842012412201663,709,4131
34,1543203907.637133,0.06873406763076782,-0.2614177400588989,-0.09834024863243103,-1.3291138443076471,-0.06564759534166725,-1.5837940212901704,709,4131
35,1543203907.647134,0.06864456849098205,-0.26142377166748043,-0.09832871227264404,-1.3311141020033017,-0.06581426797884746,-1.583908492375627,709,4131
36,1543203907.657132,0.06858739538192749,-0.2614259033203125,-0.09830397419929504,-1.3331889909167285,-0.06576444591694157,-1.5837648889891973,709,4131
37,1543203907.667141,0.06859167079925536,-0.26142626667022706,-0.09832882733345032,-1.3342680854560602,-0.06569154829095682,-1.5836437939138381,709,4131
38,1543203907.677135,0.06857217707633972,-0.26143656158447265,-0.09828708448410034,-1.3348923875328502,-0.06572473469994577,-1.5836494759533535,709,4131
39,1543203907.687136,0.06859480166435242,-0.2614255157470703,-0.09828421401977538,-1.3361343544767248,-0.06551396293906134,-1.583381713725063,709,4131
40,1543203907.697138,0.06859339671134948,-0.26143295230865476,-0.0982631094455719,-1.3367163684377816,-0.06579529912491629,-1.583301193329942,709,4143
41,1543203907.707106,0.06855017623901367,-0.26142338409423826,-0.09828883461952209,-1.337422185717154,-0.06547392692537428,-1.583441822633533,709,4143
42,1543203907.717133,0.068517680644989,-0.2614260244369507,-0.09829565348625183,-1.337793619997465,-0.06539261030428423,-1.5836173931399318,709,4143
43,1543203907.72713,0.06852489919662476,-0.2614224393844604,-0.0982822458744049,-1.3379709893852074,-0.0654176577253967,-1.583641832766218,709,4143
44,1543203907.737157,0.06846554598808288,-0.2614415515899658,-0.09824371261596679,-1.3387473529642375,-0.0655735367672353,-1.5838235050640403,709,4143
45,1543203907.747149,0.06852237391471863,-0.26143474483489987,-0.09823535556793213,-1.339047402648223,-0.06554500681250279,-1.5832724602311412,709,4143
46,1543203907.757142,0.06847880220413208,-0.26142985172271727,-0.09825859785079956,-1.3397730944827035,-0.06503006200035712,-1.583759295497608,709,4149
47,1543203907.767142,0.06846888275146484,-0.2614259033203125,-0.09824544458389282,-1.3408876235099074,-0.06510688696431553,-1.583364359279343,709,4149
48,1543203907.777144,0.0684402992248535,-0.261432540512085,-0.09820374412536621,-1.3422540740146884,-0.06539732801940357,-1.5832650476762888,709,4149
49,1543203907.787137,0.06843251748085022,-0.2614178127288818,-0.09821341528892517,-1.344345178530776,-0.06460031142540909,-1.5828917548269419,709,4149
50,1543203907.797139,0.06840633206367493,-0.26141098175048827,-0.0982178542137146,-1.3458256172268386,-0.0645184494326543,-1.5826974117951031,709,4149
