,ts,tx,ty,tz,rx,ry,rz,qx,qy,qz,qw,motor0,motor1
0,1543540811.214551,-0.0009593164443969727,-0.26155302734374997,-0.12531892528533936,-0.32641234442945194,-0.1094108495845094,-1.5850128979630953,0.15232202410697937,-0.0776558667421341,0.7078382968902588,-0.6853702664375305,1900,5650
1,1543540811.21547,-0.0009593164443969727,-0.26155302734374997,-0.12531892528533936,-0.32641234442945194,-0.1094108495845094,-1.5850128979630953,0.15232202410697937,-0.0776558667421341,0.7078382968902588,-0.6853702664375305,1900,5650
2,1543540811.225554,-0.0008630066700279712,-0.2615480857849121,-0.12533344717025757,-0.3268035263880013,-0.10926374276764927,-1.585004408185232,0.1524052619934082,-0.0778450071811676,0.707814633846283,-0.6853547692298889,1900,5650
3,1543540811.235558,-0.0007774830892682076,-0.2615596887588501,-0.12532389106750488,-0.32707865570682154,-0.10936875176396905,-1.5854632219635274,0.152518168091774,-0.07794071733951569,0.707965075969696,-0.6851633191108704,1900,5650
4,1543540811.245572,-0.0007069147165864706,-0.261581368637085,-0.12529281253814697,-0.32712000361684457,-0.10893376450028525,-1.5854539027447705,0.15238143503665924,-0.07810641825199127,0.7079437971115112,-0.6851968765258789,1900,5650
5,1543540811.255572,-0.0007264333724975586,-0.26156831226348876,-0.1252914439201355,-0.32756008168282136,-0.10761732066222428,-1.58628942435483,0.152041494846344,-0.0787850096821785,0.7081626057624817,-0.6849685311317444,1900,5650
6,1543540811.26556,-0.0007087458487600088,-0.26153975296020504,-0.1253162607192993,-0.32786055105750755,-0.10692398976054977,-1.58644279437347,0.1518971025943756,-0.07914482802152634,0.7081767320632935,-0.6849445104598999,1900,5650
7,1543540811.275561,-0.000702758901938796,-0.2615207134246826,-0.12531792001724243,-0.32783447552543415,-0.10661258918029701,-1.5866363819726534,0.151772141456604,-0.07925886660814285,0.7082321047782898,-0.684901773929596,1900,5650
8,1543540811.285558,-0.0006866792015731334,-0.2615203258514404,-0.12531766567230224,-0.3281794658572731,-0.10559533127144506,-1.5866979644792722,0.1515337973833084,-0.07974034547805786,0.7082002758979797,-0.6849315762519836,1892,5643
9,1543540811.295559,-0.0007044826850295066,-0.26152127056121827,-0.12531544923782348,-0.3282546666049711,-0.10453280255149039,-1.587334774276836,0.1511641889810562,-0.08018550276756287,0.7083741426467896,-0.6847814321517944,1892,5643
10,1543540811.305558,-0.0006853672623634338,-0.2615300636291504,-0.12532163829803467,-0.32803561127804126,-0.10343688236719417,-1.5874166452596037,0.1507042646408081,-0.08049598336219788,0.7083683609962463,-0.6848524212837219,1892,5643
11,1543540811.315561,-0.0007223372645676136,-0.26152868289947506,-0.12531125860214232,-0.32829474286950794,-0.10315732183585999,-1.5879869562789433,0.15067261457443237,-0.08072813600301743,0.7085422277450562,-0.6846520900726318,1892,5643
12,1543540811.32556,-0.000724316906556487,-0.26152509784698486,-0.1253036524772644,-0.3284264088147676,-0.10329114250072198,-1.5878972175304367,0.15076793730258942,-0.0807214081287384,0.708511471748352,-0.6846638321876526,1892,5643
13,1543540811.335534,-0.0007140679787844419,-0.26151342220306395,-0.1253134265899658,-0.3286969919907602,-0.10230035702750892,-1.5880630787807228,0.15050868690013885,-0.08117486536502838,0.7085184454917908,-0.6846599578857422,1892,5643
14,1543540811.345533,-0.0007067235320806503,-0.26150741481781004,-0.12530638971328734,-0.32870870174205263,-0.1015767362650054,-1.5880791770060214,0.15025992691516876,-0.08143225312232971,0.708495020866394,-0.684708297252655,1883,5634
15,1543540811.355561,-0.0007012711070477962,-0.2615076570510864,-0.1252955982208252,-0.3288197208337049,-0.10108076565483307,-1.5884900660269374,0.15010835230350494,-0.08167515695095062,0.7086116075515747,-0.6845920085906982,1883,5634
16,1543540811.365559,-0.0006911699321120977,-0.2615137613296509,-0.12528605422973632,-0.32881019436087494,-0.10114973615144988,-1.5888070945397983,0.1501161754131317,-0.08167155832052231,0.7087231874465942,-0.6844751238822937,1883,5634
17,1543540811.375563,-0.0006748013969510794,-0.2615187755584717,-0.1252846008300781,-0.3287736575015576,-0.1011682182723336,-1.5887816168770388,0.1501111537218094,-0.0816502645611763,0.7087166905403137,-0.6844854950904846,1883,5634
18,1543540811.38556,-0.0006414630014449357,-0.261515287399292,-0.12530297422409056,-0.328918882427777,-0.10096687405782571,-1.5885880731416235,0.15009859204292297,-0.08175729960203171,0.7086365818977356,-0.6845584511756897,1883,5634
19,1543540811.395558,-0.0006393509354442358,-0.2615050651550293,-0.12531378993988038,-0.3291441785431443,-0.10055288345329376,-1.5885130533199217,0.15003448724746704,-0.08197563141584396,0.708585262298584,-0.6845994591712952,1883,5634
20,1543540811.405561,-0.0006818071901798248,-0.2615035148620605,-0.12529116535186768,-0.3292502667554481,-0.10009181555401692,-1.588913866122012,0.1498936414718628,-0.08220379054546356,0.7086998224258423,-0.6844844222068787,1883,5634
