,ts,tx,ty,tz,rx,ry,rz,motor0,motor1
0,1543283266.830003,-0.0014279077284038066,-0.2642933397293091,-0.12493855848312377,0.35412018257797623,-0.07725721145407242,-1.6033440444306102,1914,4328
1,1543283266.830879,-0.0014279077284038066,-0.2642933397293091,-0.12493855848312377,0.35412018257797623,-0.07725721145407242,-1.6033440444306102,1914,4328
2,1543283266.840929,-0.0013760786071419714,-0.26428607273101806,-0.12495030679702758,0.35403678802479494,-0.07721534880565793,-1.603289188312775,1914,4328
3,1543283266.850932,-0.0013204492621123791,-0.26428205165863033,-0.12494165906906128,0.35354627499884383,-0.0771880094230944,-1.6033019664936452,1914,4328
4,1543283266.860931,-0.0012870629876852034,-0.2642714176177978,-0.12497077550888061,0.3535555301161811,-0.07705365341176978,-1.6033571060289546,1914,4328
5,1543283266.870928,-0.0012986828990280627,-0.2642929037094116,-0.12493170328140259,0.3537667994158537,-0.07724312379590702,-1.6036451060271402,1914,4328
6,1543283266.880927,-0.0013118911415338516,-0.26428401374816896,-0.1249663426399231,0.3538045371820579,-0.07714337462455352,-1.6037312746476229,1914,4328
7,1543283266.890934,-0.0013248085148632525,-0.26429634342193603,-0.12492046365737915,0.35382281837164653,-0.07728113581045785,-1.6036376294744064,1914,4328
8,1543283266.900928,-0.0013821466453373431,-0.26428033180236815,-0.12492362480163574,0.35366940448256917,-0.07725805408962436,-1.6035724365059132,1906,4320
9,1543283266.91097,-0.001423041110485792,-0.2642635450363159,-0.12494153795242309,0.35360590642446454,-0.0771938981914647,-1.603638761913322,1906,4320
10,1543283266.920965,-0.001459703779220581,-0.26425606002807617,-0.12492128725051879,0.3534904053514123,-0.0771836799783875,-1.6037004299175914,1906,4320
11,1543283266.930931,-0.0014319326803088187,-0.264268607711792,-0.12491004762649535,0.3535660378014947,-0.07728267588514236,-1.6036846409405494,1906,4320
12,1543283266.940931,-0.0014216575421392918,-0.2642789268493652,-0.12490615978240967,0.3536563028216092,-0.07736346136497103,-1.603723877564734,1906,4320
13,1543283266.950929,-0.0013863628290593623,-0.2642773038864136,-0.1249158854484558,0.35372604113705997,-0.07733556191197477,-1.6037090934679363,1906,4320
14,1543283266.960969,-0.0013832102954387665,-0.26428033180236815,-0.12491660003662108,0.3536355744604647,-0.07737107389304872,-1.603733119330286,1899,4311
15,1543283266.970968,-0.0013922790929675102,-0.2642746877670288,-0.12490367689132689,0.3534589216762869,-0.07748979496599712,-1.603791856767525,1899,4311
16,1543283266.980977,-0.0013820163503289221,-0.26427161140441896,-0.12489710025787353,0.3534419087923156,-0.07753936297313391,-1.6037022532971716,1899,4311
17,1543283266.99097,-0.0013819370567798614,-0.264267008972168,-0.12489976482391357,0.35335320918608276,-0.0775129587962,-1.6037609192791642,1899,4311
18,1543283267.000963,-0.0013578080676496028,-0.2642721927642822,-0.12490500917434692,0.3532333226469632,-0.07756846036868281,-1.6036833380920825,1899,4311
19,1543283267.010965,-0.0013270291127264499,-0.2642846677780151,-0.12488359575271606,0.3532491317712951,-0.07774628981411319,-1.603672315882037,1899,4311
20,1543283267.020965,-0.001345537343621254,-0.26428137340545654,-0.1248973424911499,0.3530891631232193,-0.07772341310823509,-1.6039266597675494,1899,4311
21,1543283267.030967,-0.0013053135618567467,-0.2642797746658325,-0.12489561052322387,0.3532026800736243,-0.07779805799764414,-1.6037589090572932,1889,4302
22,1543283267.040928,-0.0013184339001774787,-0.26426742076873777,-0.12491651525497437,0.35311205775042714,-0.07769926351192907,-1.6037218323350646,1889,4302
23,1543283267.050928,-0.0013437509678304194,-0.264273210144043,-0.12488341407775878,0.35289582293216376,-0.07791650669292316,-1.6036993073433552,1889,4302
24,1543283267.060963,-0.0013500164829194545,-0.264266742515564,-0.12489028139114379,0.35280088428932804,-0.07790443149641188,-1.6037606063516354,1889,4302
25,1543283267.070968,-0.00134714857339859,-0.2642693586349487,-0.12489018449783325,0.35287448807771976,-0.07798567765423114,-1.6038803691654087,1889,4302
26,1543283267.080966,-0.00126813330873847,-0.2642706666946411,-0.12488266315460204,0.35302300353033345,-0.0780898506305198,-1.6037216112769392,1889,4302
27,1543283267.090938,-0.0012875071451067925,-0.26427672252655027,-0.12488893699645996,0.35301315454264304,-0.07812336387191249,-1.6037143416283846,1878,4293
28,1543283267.100965,-0.0013293862506747246,-0.2642796535491943,-0.12487692222595215,0.3529619484079517,-0.07829887383957944,-1.6037367439827217,1878,4293
29,1543283267.11094,-0.0013800885140895843,-0.2642726530075073,-0.12487773370742797,0.3528851684865999,-0.07828690622945927,-1.6038486810911525,1878,4293
30,1543283267.120965,-0.0014143107771873473,-0.2642680505752563,-0.12486626396179198,0.352744578268339,-0.0783065210400542,-1.6038091649486292,1878,4293
